Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh)
Canada,2016,4786.21,12492.92,79.81,75.83,22.64,32.19,1594.34,0.46
China,2016,6850.86,33766.91,26.7,65.11,30.03,13.55,4234.14,0.49
Japan,2010,6375.14,19167.69,35.04,61.49,48.88,25.98,1547.41,0.39
Japan,2019,4329.75,31752.74,17.14,72.19,57.82,35.63,94.73,0.16
Germany,2009,9003.73,39064.04,70.91,63.88,41.67,16.05,796.94,0.16
Germany,2015,5240.71,38169.63,25.2,30.07,49.02,17.94,2566.93,0.19
Australia,2001,5108.09,19077.81,10.81,50.87,47.34,29.82,4059.55,0.12
UK,2016,716.28,28610.96,41.98,68.96,59.98,33.18,334.19,0.13
UK,2021,9228.99,22758.08,38.27,22.66,51.8,18.5,4168.47,0.17
UK,2019,1853.45,43604.86,20.1,21.41,45.11,20.8,3594.57,0.35
Australia,2009,5330.61,43998.54,16.36,21.13,24.61,32.2,220.87,0.33
USA,2012,8055.32,17515.21,81.21,23.6,34.51,18.56,576.16,0.2
Japan,2011,2232.99,5041.0,10.77,17.23,30.03,29.99,424.37,0.14
China,2014,5321.0,8795.33,13.44,68.63,54.15,14.77,3411.02,0.33
Brazil,2006,2482.78,18666.59,25.83,67.28,37.85,22.34,2827.1,0.11
Japan,2021,7620.98,28430.37,85.99,20.6,41.41,30.66,1826.35,0.12
Germany,2020,5686.98,33010.96,12.26,59.39,58.59,23.8,487.14,0.22
India,2012,8574.16,16902.87,74.36,53.89,53.47,10.58,1995.26,0.31
Canada,2011,8956.12,33541.21,80.82,29.33,51.59,22.19,3426.76,0.38
Australia,2011,6522.46,46918.13,37.12,25.92,25.69,18.65,512.39,0.36
Russia,2001,7281.37,32774.7,29.98,27.54,20.91,13.04,4290.1,0.22
India,2004,5537.28,8348.98,62.58,61.14,25.02,10.27,361.4,0.34
Brazil,2024,3905.84,29193.61,64.72,32.35,49.61,11.37,3060.56,0.15
UK,2024,6516.37,27323.83,71.3,29.46,36.43,38.48,986.28,0.27
Germany,2001,9092.06,43599.66,75.6,11.57,24.7,32.49,503.62,0.33
Germany,2022,4225.14,17840.0,27.81,73.58,49.56,38.19,1807.11,0.38
Germany,2019,3212.66,21435.81,63.39,62.69,27.78,13.44,3351.29,0.09
UK,2012,3945.53,30133.62,16.47,43.09,43.56,27.12,649.21,0.1
Russia,2002,4410.44,26459.05,48.41,76.0,49.66,12.5,2404.7,0.08
Australia,2010,828.25,36091.32,57.1,30.55,44.32,10.8,2060.23,0.3
India,2015,5034.57,2499.26,18.75,57.23,59.75,23.99,2165.9,0.31
UK,2000,4993.71,28394.04,11.5,31.36,37.37,29.39,4719.91,0.05
Brazil,2018,5925.59,6522.76,21.55,32.02,32.47,11.91,1777.7,0.35
Australia,2010,3691.92,16102.85,40.75,69.13,28.05,20.95,4958.56,0.39
Brazil,2008,6169.77,33250.53,80.47,65.09,40.15,12.71,2715.04,0.1
Australia,2013,8794.34,8292.0,50.21,30.59,54.1,20.86,4220.28,0.2
Russia,2008,9559.16,15787.67,68.62,15.7,57.88,24.15,1776.88,0.43
Canada,2006,5877.76,35298.82,19.8,35.03,58.88,20.13,469.63,0.36
Brazil,2015,521.65,32714.86,14.01,63.2,41.26,27.29,467.8,0.19
UK,2002,9695.44,5006.46,25.37,17.04,44.21,27.54,2892.04,0.38
Australia,2018,7088.03,29074.79,31.68,57.05,43.26,19.99,4653.08,0.45
Germany,2003,3426.04,7789.1,51.59,72.28,38.64,21.69,402.54,0.19
Japan,2006,1556.86,12987.43,79.91,22.55,26.09,23.23,3461.13,0.36
Germany,2022,1519.84,23230.96,41.22,70.35,22.62,21.27,2838.09,0.09
USA,2011,1760.67,5912.67,49.1,13.6,37.47,32.82,3278.64,0.08
Canada,2017,551.17,49685.52,5.39,56.68,27.45,14.2,1116.93,0.31
Canada,2004,9031.33,8685.79,7.83,65.37,55.47,35.71,399.02,0.27
Germany,2022,5453.61,39174.98,12.12,41.13,50.47,19.94,419.9,0.41
India,2022,7029.6,41577.02,64.41,24.26,44.74,31.72,1271.29,0.4
Russia,2021,8298.27,49725.97,46.33,74.73,21.9,36.51,1107.51,0.18
Brazil,2009,7936.26,21718.33,21.4,11.4,44.89,36.62,675.47,0.28
UK,2011,8837.8,43767.68,55.37,48.85,44.84,23.57,1360.18,0.39
Canada,2007,9675.82,47898.2,51.29,36.1,37.57,17.7,2693.17,0.17
Germany,2018,4446.8,9058.26,12.55,42.27,46.31,28.17,4750.09,0.21
Germany,2014,9508.32,24232.09,59.44,47.56,54.32,15.52,4615.23,0.08
Russia,2000,7260.57,3470.54,70.21,47.43,50.32,33.72,1394.98,0.11
Russia,2002,799.62,31225.84,29.36,24.25,38.94,31.34,377.74,0.32
China,2017,6849.65,29279.6,63.44,57.58,30.49,33.87,4978.39,0.27
China,2017,6898.49,10604.25,21.98,11.34,39.11,23.0,2408.22,0.13
India,2001,9068.02,39996.19,69.32,11.48,57.84,26.72,4892.59,0.05
India,2004,3792.03,2344.8,82.5,43.49,52.8,13.08,2711.33,0.13
USA,2000,5890.62,40408.25,42.56,47.93,21.08,30.63,4437.49,0.39
India,2009,220.66,1818.94,25.79,29.24,51.32,24.61,2263.74,0.09
Australia,2019,3387.54,33013.03,38.93,48.62,26.82,25.28,3129.01,0.23
Russia,2009,716.21,4399.09,26.26,46.13,42.84,35.41,2701.91,0.16
UK,2004,5266.54,12935.66,5.11,34.45,52.26,33.17,1138.39,0.3
Australia,2017,8192.73,36234.71,60.29,55.62,42.45,26.06,3830.8,0.28
Brazil,2020,2143.78,14380.04,8.61,77.06,36.15,20.65,321.29,0.49
Germany,2014,5321.67,25803.11,22.88,44.36,32.85,23.39,1843.94,0.4
India,2019,2119.69,45804.79,66.41,65.02,32.2,20.52,4356.02,0.47
Germany,2007,1294.82,2956.9,61.59,27.33,53.5,14.55,2538.28,0.31
Canada,2016,5158.87,40648.45,11.23,63.34,53.0,29.37,434.35,0.38
USA,2011,883.57,3730.96,61.1,55.42,52.94,30.75,1077.27,0.45
Canada,2020,5914.81,6776.34,84.1,54.78,31.31,39.14,592.72,0.07
USA,2011,410.24,6406.3,11.33,72.51,51.96,23.67,1424.28,0.46
China,2000,1156.48,49708.06,40.33,26.33,21.47,39.92,868.29,0.15
Germany,2003,5544.98,9419.22,67.0,35.79,28.26,15.61,3574.16,0.37
USA,2007,5954.93,44889.71,61.76,15.81,40.58,29.7,3314.16,0.4
Japan,2000,386.97,49551.14,24.25,60.83,36.27,39.84,718.64,0.1
Australia,2014,5776.43,19497.35,18.86,69.07,24.48,29.21,2252.7,0.48
USA,2017,8401.18,31736.9,71.66,38.41,21.67,23.57,1514.42,0.47
USA,2000,7250.93,39065.02,86.28,34.98,44.45,25.46,1719.22,0.34
Australia,2010,1398.73,19935.93,70.24,56.11,32.54,35.37,2901.1,0.12
Germany,2022,5965.5,8509.8,86.87,15.29,20.64,38.17,4498.51,0.3
Germany,2001,6755.3,21971.26,56.42,30.57,37.24,23.62,4491.76,0.2
Australia,2000,468.59,38708.44,83.97,35.63,32.27,33.17,2094.46,0.47
Canada,2011,8567.94,39147.76,63.69,46.3,43.06,38.01,1996.32,0.23
Japan,2015,9072.05,11911.67,82.26,43.36,57.19,18.46,2613.98,0.36
UK,2021,8519.48,9160.8,18.74,24.61,32.31,24.79,2396.87,0.34
Brazil,2021,8263.85,46067.75,74.32,47.86,59.89,39.86,355.84,0.17
Japan,2009,7475.16,2677.95,21.72,74.81,23.44,20.6,2914.81,0.29
Germany,2017,6370.98,36869.55,7.33,11.9,23.53,28.59,2944.43,0.23
UK,2014,6818.41,2797.86,48.99,57.62,48.52,29.71,2279.17,0.22
China,2016,8083.31,41976.05,32.05,53.73,49.95,14.62,2099.13,0.44
India,2009,6658.73,45318.03,8.7,74.71,36.91,34.2,4697.78,0.11
USA,2002,3344.5,15222.25,88.33,55.17,31.44,22.39,3024.08,0.23
Australia,2020,3822.01,4159.81,61.65,53.74,51.76,25.01,4090.58,0.05
Australia,2015,8980.87,24293.88,81.65,63.89,58.25,29.29,4771.51,0.17
USA,2005,269.51,15273.92,89.92,28.75,59.6,22.31,4060.0,0.33
India,2002,7018.32,21148.24,38.32,51.7,45.38,19.75,4717.75,0.09
Brazil,2008,9552.3,33416.78,26.65,46.36,49.6,26.39,3808.5,0.17
India,2010,7091.66,10886.39,20.63,40.69,52.89,20.4,892.1,0.45
UK,2020,9939.73,18169.1,48.79,15.56,51.95,23.02,1173.31,0.36
India,2012,6906.69,39236.84,56.52,30.48,59.74,13.25,1009.78,0.08
UK,2017,440.19,32366.22,45.16,29.6,52.42,35.34,1644.52,0.5
India,2021,8287.4,16650.64,37.92,60.7,46.5,22.35,1807.21,0.48
Brazil,2023,2917.84,33382.93,19.3,74.45,35.05,12.48,4065.35,0.11
Brazil,2021,4515.97,38382.99,42.56,26.16,43.92,33.7,1836.22,0.46
Germany,2003,3189.71,29828.04,12.25,15.22,55.21,10.59,3649.73,0.3
USA,2021,2758.69,12355.09,78.53,80.0,32.22,27.98,4523.89,0.47
Brazil,2023,4370.92,512.14,8.99,58.38,21.23,31.08,617.04,0.49
UK,2007,3849.64,40241.03,37.35,72.05,33.09,15.74,51.29,0.36
Brazil,2012,6370.05,41220.36,13.51,20.07,58.41,13.94,4448.86,0.18
Germany,2009,8150.2,35031.42,70.87,66.05,51.76,13.42,1229.37,0.47
Australia,2001,3041.18,4290.76,31.58,66.93,27.49,39.8,809.52,0.31
UK,2007,2215.84,29468.5,14.61,20.6,20.48,32.65,1511.28,0.2
Germany,2005,6702.26,41140.52,50.18,21.3,46.76,19.38,970.83,0.26
Canada,2015,6736.17,19788.58,82.88,30.68,43.16,20.07,3978.58,0.23
Canada,2017,9021.2,10301.04,82.23,25.18,23.32,29.46,3190.81,0.47
China,2016,257.86,29587.55,26.22,78.28,58.64,23.73,878.16,0.42
India,2005,8545.1,41402.18,66.17,35.41,44.71,18.14,2938.64,0.06
USA,2012,5257.92,2919.06,7.57,63.29,46.06,11.71,1080.05,0.05
Russia,2022,6250.89,30049.09,16.21,66.35,54.14,33.52,1027.9,0.08
Japan,2013,1004.58,32337.1,47.46,37.02,33.48,36.65,2997.46,0.32
Germany,2020,4382.89,30317.17,24.44,57.78,42.33,16.18,3340.2,0.42
Australia,2009,2350.29,32676.67,72.85,17.55,43.05,11.9,1763.7,0.28
Japan,2023,2616.83,31753.08,84.14,37.79,58.69,13.56,3828.87,0.29
Australia,2010,5090.54,6954.99,5.37,77.71,25.26,22.43,4194.21,0.16
Japan,2012,8143.31,12129.37,24.8,21.8,50.36,18.98,4585.9,0.26
Germany,2011,7463.43,31140.2,42.36,37.0,43.01,12.2,3149.0,0.17
Russia,2008,5950.9,1375.81,52.86,65.34,53.82,23.65,1139.12,0.17
Japan,2003,5440.24,31919.85,82.85,56.58,53.28,16.12,3754.9,0.23
Germany,2006,4330.33,33436.64,80.81,54.21,20.48,12.01,583.84,0.07
Brazil,2023,9729.83,12339.15,59.16,69.73,30.26,29.74,947.01,0.48
Russia,2021,5645.91,30107.58,26.88,12.04,27.23,27.18,4172.3,0.46
UK,2001,2614.27,26937.46,71.58,63.98,38.47,34.79,4558.61,0.41
Australia,2006,2377.9,13404.23,22.23,71.78,56.21,19.07,380.25,0.31
Canada,2008,6152.4,23417.21,87.04,11.13,20.2,14.07,1595.0,0.42
India,2004,5275.99,45526.41,5.5,49.13,39.53,20.8,3164.43,0.49
Canada,2014,176.21,21616.84,53.43,34.4,55.39,33.36,4696.31,0.18
Russia,2017,8317.65,31677.29,12.51,13.55,57.05,17.25,2875.09,0.21
UK,2003,7070.81,2249.87,39.65,39.24,46.29,17.65,4113.91,0.38
Australia,2018,6652.11,4351.11,58.97,55.08,53.19,14.43,4617.64,0.34
UK,2019,780.93,4524.75,63.62,74.33,32.96,39.6,2619.26,0.42
Japan,2006,3684.35,39022.92,71.77,53.44,31.44,39.02,3715.23,0.21
Australia,2007,9360.28,17837.72,55.43,69.97,21.96,29.74,3328.94,0.19
Japan,2016,8639.63,11766.78,26.36,18.51,40.13,16.44,3373.24,0.31
Germany,2012,2926.88,37492.57,80.59,24.74,38.23,33.0,2609.48,0.12
Russia,2023,1654.88,8913.02,73.94,77.92,34.88,27.52,3134.8,0.07
Germany,2020,4545.97,12701.38,18.6,72.12,24.53,32.49,2794.15,0.16
China,2022,3622.72,21831.11,75.25,26.47,29.23,35.81,3206.83,0.12
UK,2010,6854.04,16906.18,87.67,53.47,28.15,19.55,2550.73,0.05
Japan,2000,9667.7,29476.91,59.16,35.38,57.76,37.41,1151.36,0.4
Brazil,2001,3693.71,17223.11,28.95,42.8,58.66,36.96,3483.41,0.29
Germany,2016,716.02,19951.11,56.56,70.26,20.14,26.41,1950.96,0.35
China,2004,8986.38,43212.89,34.12,61.5,26.82,30.54,682.32,0.12
USA,2005,475.7,44284.31,62.46,26.69,55.55,22.33,4264.05,0.17
Canada,2024,9532.38,41471.7,51.31,32.12,21.53,29.65,947.67,0.08
Australia,2023,6679.34,43309.13,84.01,30.28,57.74,26.47,2726.51,0.5
China,2006,9422.72,28701.57,57.52,64.65,35.2,19.68,3619.53,0.1
Russia,2020,2076.63,32488.54,23.19,44.31,41.55,19.69,3256.13,0.09
Germany,2014,502.93,28080.07,66.63,76.55,50.55,29.55,846.25,0.33
Russia,2018,4933.28,39386.61,30.57,67.17,29.76,38.7,1010.98,0.2
Canada,2015,4561.17,27774.52,28.15,24.78,24.03,16.05,786.8,0.45
Brazil,2024,3381.77,5998.31,38.3,65.02,52.4,21.78,409.11,0.42
UK,2012,9580.8,40574.22,6.02,45.43,59.39,34.17,1452.2,0.44
UK,2004,8243.58,38148.97,87.38,27.76,46.35,13.69,2644.48,0.38
Russia,2002,6649.66,41104.88,50.25,35.43,53.01,39.83,906.11,0.11
Japan,2002,1712.3,9926.26,70.75,78.05,57.65,30.34,4855.75,0.08
Brazil,2018,7369.8,13945.04,26.92,43.88,29.14,37.32,3509.21,0.08
UK,2013,7297.42,15139.71,68.46,60.37,34.02,35.14,2938.0,0.41
Brazil,2015,4308.17,25649.99,53.21,43.4,28.76,33.31,3423.02,0.35
China,2021,9255.38,7126.92,41.05,36.01,22.47,10.99,2207.95,0.49
Brazil,2016,1753.08,19576.4,87.51,65.75,49.29,22.19,2376.05,0.34
India,2003,2746.64,9516.83,46.98,69.38,25.83,16.06,4448.89,0.16
Canada,2012,725.92,13605.75,60.88,15.03,23.71,36.14,3623.6,0.09
UK,2007,7974.96,35466.19,6.3,29.53,34.31,30.41,2961.52,0.21
Brazil,2018,6255.42,42813.15,30.62,45.55,22.42,13.21,4753.55,0.14
Russia,2004,3217.91,1633.84,80.54,32.15,27.18,20.79,3330.07,0.33
USA,2001,1721.76,28511.9,69.51,64.85,22.8,12.08,2023.52,0.09
India,2014,497.46,2284.96,50.62,18.03,55.09,32.2,284.92,0.4
India,2001,1750.78,4719.84,81.51,65.85,51.19,22.55,1983.85,0.36
Japan,2010,4587.52,35401.66,46.33,53.25,54.38,17.03,4627.79,0.38
Brazil,2012,2547.05,36912.6,53.15,30.26,54.73,25.53,271.02,0.48
Japan,2022,2663.92,40792.04,37.48,34.11,57.78,11.26,963.59,0.34
Japan,2009,8768.21,23974.95,57.7,22.8,27.47,17.72,4053.3,0.4
USA,2002,5199.86,43060.47,32.12,27.68,56.0,15.26,1856.53,0.09
China,2004,7319.59,8758.5,37.77,60.21,41.0,37.92,970.2,0.47
Brazil,2002,453.54,12860.96,87.14,36.31,26.65,21.31,4087.54,0.15
Germany,2005,3715.12,7157.86,14.46,58.12,46.23,27.53,2814.28,0.27
UK,2012,4843.78,39978.09,13.95,45.99,33.08,25.09,2764.89,0.48
Japan,2009,1945.53,11819.42,8.68,20.17,21.86,29.78,1504.24,0.13
Canada,2018,1289.9,8197.81,32.2,44.93,23.15,18.37,3391.92,0.07
Australia,2007,8716.01,31343.98,38.85,62.95,36.95,13.62,4316.04,0.18
Canada,2017,9400.37,4315.56,13.03,30.84,53.06,12.44,3763.52,0.12
USA,2002,880.19,2722.56,51.68,55.37,32.44,15.8,3081.51,0.35
USA,2023,3555.29,5782.52,54.58,23.93,50.65,24.48,1785.07,0.18
Russia,2023,9587.03,511.92,68.84,19.5,22.23,17.08,4281.28,0.08
China,2016,923.3,35001.01,87.96,35.22,35.75,23.02,2852.23,0.45
UK,2007,6472.05,28330.65,57.64,37.24,25.1,10.88,4453.44,0.07
Japan,2009,9724.99,10888.82,14.49,63.27,54.54,28.83,1308.18,0.17
Canada,2001,9784.41,12033.74,12.52,42.21,58.72,36.34,3288.76,0.16
Australia,2011,4765.11,40642.95,71.09,15.69,33.02,11.43,4679.19,0.06
USA,2022,1711.22,25340.1,60.28,54.38,59.55,16.54,1901.72,0.12
USA,2005,2100.63,35077.15,18.76,42.85,50.09,19.53,4758.77,0.42
China,2001,8907.05,22911.39,26.54,33.22,20.05,18.62,1992.69,0.07
Australia,2020,9125.66,12267.04,68.77,66.16,39.41,11.21,2216.56,0.06
Australia,2022,6118.01,48534.94,53.12,20.81,53.36,13.2,4041.91,0.34
China,2023,7685.15,28499.55,54.73,73.92,41.36,37.37,1340.82,0.09
USA,2002,7425.32,6983.6,22.85,33.38,42.0,31.34,3544.07,0.22
UK,2016,6652.03,20601.46,58.47,42.27,37.91,38.75,1527.03,0.05
Brazil,2006,8290.04,16802.2,70.5,75.05,35.8,23.21,2989.16,0.21
Brazil,2020,6885.53,11097.33,80.25,63.29,21.1,36.37,3891.01,0.19
China,2004,5386.62,46705.28,67.62,15.2,44.87,34.5,179.39,0.33
Australia,2022,2445.87,44105.54,53.99,50.48,50.67,36.25,487.96,0.27
Japan,2000,7464.49,10357.78,62.23,31.73,51.61,11.17,4675.15,0.36
China,2007,4787.03,17931.32,46.23,45.59,44.99,29.58,4088.36,0.47
UK,2011,3018.44,38234.61,24.29,62.01,33.65,27.0,4391.2,0.41
China,2013,8039.27,10821.05,79.99,44.73,20.9,26.36,2222.76,0.47
India,2015,6997.46,29782.46,50.27,14.97,55.83,25.13,3595.94,0.07
Canada,2009,9379.66,35139.8,55.52,47.1,37.16,33.88,4991.46,0.5
Australia,2014,1737.87,32871.63,89.16,11.69,44.05,39.04,2191.03,0.19
Russia,2020,6526.97,35467.23,88.73,34.39,27.78,34.87,4241.56,0.17
Russia,2023,2517.97,35481.63,54.84,43.46,25.68,36.11,442.45,0.23
Australia,2014,9045.47,48257.89,7.89,55.13,23.47,24.52,2742.12,0.4
UK,2009,1085.04,17651.7,38.67,45.43,51.95,30.72,1699.54,0.48
India,2020,6596.0,43990.23,84.67,20.64,45.86,22.47,2639.3,0.3
India,2006,7931.75,1579.45,29.51,75.26,44.85,20.81,614.67,0.12
USA,2002,3613.69,14766.05,89.94,55.52,56.78,36.86,1870.03,0.15
Canada,2001,9545.97,2908.46,12.17,32.19,26.35,37.16,428.82,0.23
Brazil,2005,8522.23,32734.6,53.29,77.62,26.81,30.47,2292.81,0.21
Germany,2020,3016.72,5489.12,48.81,71.78,27.58,35.14,2236.88,0.16
UK,2008,174.66,42362.49,26.7,20.04,36.93,20.81,1682.07,0.43
Germany,2009,3036.91,32506.29,85.63,55.88,54.97,23.01,4744.14,0.18
Germany,2003,2884.97,1926.36,57.63,49.2,55.26,34.63,460.52,0.32
Australia,2002,8910.65,35881.48,24.57,23.5,43.62,21.94,4133.15,0.27
Russia,2008,9674.5,43170.73,37.64,26.34,46.33,11.2,1806.89,0.47
Russia,2023,797.36,33225.49,66.3,49.46,55.91,20.6,1036.6,0.33
Brazil,2021,4765.82,2010.95,30.3,32.49,44.97,21.95,1399.17,0.2
Australia,2016,5528.49,42967.02,79.77,68.44,29.19,14.64,4514.37,0.34
Germany,2013,1019.83,36756.96,19.08,16.84,48.2,20.32,4133.25,0.19
Japan,2009,3837.23,19233.34,27.48,73.98,50.8,38.03,128.0,0.09
Russia,2012,3239.12,16767.2,17.32,68.84,45.41,35.76,779.28,0.27
UK,2011,5406.96,24251.1,13.86,61.7,30.94,23.38,3391.38,0.44
UK,2000,6645.79,43421.54,30.53,28.38,36.0,31.3,1621.2,0.46
USA,2021,7064.5,12976.94,89.93,60.05,38.82,14.56,4599.75,0.29
China,2018,1453.87,5497.71,13.02,40.71,25.81,32.58,3943.18,0.36
Japan,2018,8148.18,43299.5,23.11,54.36,38.09,24.27,4381.44,0.32
Russia,2005,6817.57,1801.35,28.09,31.88,26.45,31.68,1004.71,0.41
India,2012,8901.84,45594.35,57.63,68.51,39.98,29.32,795.99,0.1
Russia,2018,4548.43,15634.39,68.35,12.84,22.03,16.98,4663.05,0.23
USA,2012,8949.51,25657.02,68.91,58.4,57.94,35.04,2050.76,0.16
UK,2021,8671.16,7048.63,5.73,68.0,29.85,27.17,2107.8,0.05
Germany,2020,4440.25,45161.62,60.41,55.25,38.68,33.53,3438.62,0.42
India,2003,3873.32,37616.89,58.61,23.44,21.31,12.82,2017.38,0.11
Australia,2023,9334.84,46245.7,49.0,29.95,27.71,28.46,4382.2,0.2
Canada,2001,7180.13,34319.84,37.23,46.04,47.73,18.76,4797.42,0.44
Germany,2014,9289.63,9642.34,72.78,33.06,24.47,35.83,1695.97,0.37
Canada,2011,7990.05,15759.22,34.23,10.34,45.13,38.49,1079.89,0.31
Japan,2006,6132.04,24599.0,24.55,12.85,20.08,11.67,422.76,0.19
China,2019,1246.94,30559.28,31.36,63.74,38.6,31.73,1111.1,0.28
India,2017,2985.66,46359.74,42.37,15.86,48.85,13.09,740.25,0.08
Brazil,2022,9691.54,19505.6,23.19,74.96,57.05,35.73,194.15,0.38
India,2012,3262.28,35302.07,56.64,40.99,39.71,13.74,280.96,0.16
Russia,2016,1023.22,48069.94,80.16,63.07,53.62,15.85,2571.35,0.27
UK,2003,7104.78,8042.52,55.61,18.79,52.1,17.55,3553.58,0.09
Russia,2024,7366.64,43204.12,42.97,74.86,31.83,31.83,4917.13,0.37
Russia,2013,2926.03,21324.95,72.73,12.37,54.99,18.78,820.62,0.45
Japan,2019,3046.95,36754.88,68.58,12.95,45.61,27.88,3506.24,0.26
Germany,2012,4742.04,15030.15,36.2,13.82,24.17,27.16,2792.28,0.09
Brazil,2002,315.71,17032.22,56.35,17.24,57.56,22.07,2416.72,0.48
Brazil,2017,7914.3,1843.09,67.04,44.08,27.07,26.18,3623.11,0.25
Russia,2013,3239.18,48584.51,25.86,65.18,38.81,13.55,1231.34,0.09
Canada,2014,8552.25,40765.9,36.13,29.95,38.65,36.29,1590.89,0.13
Japan,2002,8046.04,5148.94,13.99,62.2,45.01,16.21,1953.83,0.1
Russia,2000,6647.88,49975.69,88.95,64.18,46.6,36.41,952.86,0.14
China,2023,3316.26,30448.72,12.3,73.58,29.32,25.56,2419.18,0.12
UK,2016,5211.53,42759.57,19.33,20.45,34.1,28.42,702.74,0.47
Germany,2002,4503.81,3799.71,45.79,19.49,25.78,17.72,1624.81,0.14
Australia,2013,3454.93,19777.83,78.55,18.55,25.04,16.67,610.15,0.25
China,2002,8496.55,33647.73,35.25,35.15,53.0,24.72,227.62,0.38
Canada,2012,4886.72,5768.47,70.33,44.26,50.03,18.02,1808.29,0.35
India,2014,8343.96,24700.69,62.46,42.31,37.71,22.69,3106.87,0.48
India,2017,1141.66,22412.55,59.29,27.99,23.84,23.21,801.86,0.48
China,2013,1496.15,11193.99,76.83,53.54,38.0,18.13,4967.61,0.31
Russia,2020,9775.47,15363.36,6.2,33.68,31.78,18.75,1408.02,0.39
Australia,2002,5918.91,48372.36,83.98,35.63,51.12,39.19,162.34,0.22
USA,2018,5146.72,14788.1,75.48,17.39,23.87,27.62,188.77,0.24
USA,2007,5279.25,11064.59,84.72,51.46,38.05,34.96,3349.51,0.1
Canada,2003,2231.16,27042.35,72.45,55.87,43.66,11.37,3365.86,0.35
Russia,2003,7215.17,33712.42,79.68,63.06,59.43,10.06,4518.38,0.17
Brazil,2018,939.33,36392.11,22.26,73.28,23.58,25.57,499.66,0.09
Brazil,2010,5775.9,37835.24,32.13,63.62,24.56,34.8,1913.02,0.09
Germany,2000,5750.61,2323.21,31.79,26.5,59.52,28.33,4451.9,0.38
Australia,2007,9150.47,19991.14,14.28,26.5,36.23,28.56,3998.5,0.15
Australia,2014,5309.21,38810.92,67.01,74.06,49.75,14.18,1205.58,0.4
India,2000,1456.92,45290.18,16.57,65.31,51.34,39.36,4455.34,0.46
Japan,2006,5770.26,30308.91,9.46,64.76,32.58,25.89,3420.04,0.2
Canada,2020,1004.14,3089.19,70.91,60.38,28.57,13.08,1358.37,0.41
USA,2019,2117.56,20133.97,81.9,28.7,31.04,22.43,271.88,0.24
Canada,2019,407.97,4174.24,69.95,69.32,50.58,12.16,2512.34,0.4
Brazil,2023,5181.61,37552.62,75.15,20.0,53.62,22.54,3579.73,0.19
Brazil,2010,936.87,3643.52,55.63,34.5,47.98,31.35,1379.79,0.47
China,2013,4747.0,9693.69,80.46,34.25,37.65,19.71,885.24,0.49
Germany,2021,9336.16,21139.44,47.22,49.21,30.5,19.39,422.64,0.22
Australia,2015,7225.64,23401.09,89.01,42.44,37.01,25.43,4218.02,0.14
UK,2013,866.38,20620.84,13.79,42.19,56.58,24.95,320.92,0.36
Canada,2011,2319.68,23438.13,73.78,48.75,54.53,24.01,3066.55,0.31
Brazil,2016,6769.26,35805.34,59.52,39.08,32.94,25.51,3828.05,0.5
Japan,2013,8957.55,18778.81,54.35,27.5,33.12,11.44,3913.39,0.42
India,2009,425.89,27613.65,66.69,56.49,51.2,24.23,3285.81,0.43
USA,2023,8143.27,15516.78,76.42,65.34,37.06,39.76,3281.34,0.38
Germany,2013,5661.96,18004.56,78.35,43.53,42.91,32.93,2396.75,0.21
Japan,2017,5506.3,30883.05,19.91,55.46,36.89,18.63,2112.7,0.47
Germany,2021,9582.35,24779.49,21.75,47.48,29.69,30.33,729.91,0.26
China,2008,7501.68,36290.3,6.37,14.13,27.55,19.9,2700.0,0.23
UK,2016,8516.18,28246.66,16.21,39.62,25.58,15.75,401.6,0.14
Brazil,2005,3604.56,40276.92,27.43,10.69,20.46,33.21,2367.58,0.19
India,2007,5588.2,22448.71,66.29,56.33,31.22,16.29,3667.96,0.05
Japan,2012,6192.52,24806.16,45.44,45.57,26.86,35.76,2242.17,0.35
Germany,2017,3283.68,33663.58,69.42,18.88,30.32,21.41,2566.0,0.32
Australia,2004,5745.46,11451.58,46.36,47.95,23.03,32.71,4218.92,0.23
China,2005,2442.89,19603.51,52.23,72.89,33.66,17.79,3250.58,0.49
Australia,2020,1519.42,31429.64,14.44,33.83,40.8,29.58,681.6,0.36
India,2018,3802.31,1929.38,71.01,78.77,57.78,16.38,2737.54,0.16
Japan,2003,7418.97,22130.09,69.44,77.16,33.88,10.66,1854.65,0.22
China,2006,9170.25,30143.07,31.14,64.97,21.24,34.44,1073.82,0.28
Japan,2003,4631.37,48385.09,32.93,66.97,34.49,35.68,3257.44,0.3
Brazil,2024,6463.95,43912.32,23.67,38.74,52.69,36.42,1963.19,0.17
Russia,2010,1120.07,14396.73,74.18,38.18,33.61,11.09,3848.17,0.16
China,2011,9054.19,25606.9,68.5,76.81,31.67,32.83,2953.18,0.18
Australia,2013,5729.18,3292.51,56.78,35.63,56.76,35.08,566.07,0.48
India,2012,7825.35,12417.34,25.3,16.78,31.89,19.35,1784.23,0.21
UK,2009,7964.97,38855.37,19.61,20.69,58.81,24.11,1385.72,0.22
Brazil,2017,2639.16,6604.04,9.27,59.73,53.31,22.24,792.36,0.37
Russia,2015,5338.83,13255.68,8.88,36.81,47.37,23.2,4011.09,0.12
